教科名,学年,科目,区分,単位数
国語ⅠA,1,一般,必修,2
国語ⅠB,1,一般,必修,2
地理A,1,一般,必修,1
地理B,1,一般,必修,2
美術,1,一般,必修,1
英語ⅠA,1,一般,必修,1
英語ⅠB,1,一般,必修,1
英語ⅡA,1,一般,必修,1
英語ⅡB,1,一般,必修,1
英文法,1,一般,必修,2
保健体育ⅠA,1,一般,必修,1
保健体育ⅠB,1,一般,必修,1
基礎数学Ⅰ,1,一般,必修,3
基礎数学Ⅱ,1,一般,必修,2
基礎数学Ⅲ,1,一般,必修,1
基礎科学,1,一般,必修,1
物理学Ⅰ,1,一般,必修,1
基礎化学ⅠA,1,一般,必修,1
基礎化学ⅠB,1,一般,必修,1
コンピュータ入門I,1,専門,必修,1
コンピュータ入門II,1,専門,必修,1
コンピュータ演習I,1,専門,必修,1
コンピュータ演習II,1,専門,必修,1
技術者入門I,1,専門,必修,1
技術者入門II,1,専門,必修,1
実験・実習IA,1,専門,必修,1
実験・実習IB,1,専門,必修,1
日本文化論,2,一般,選択,1
国語ⅡA,2,一般,必修,1
国語ⅡB,2,一般,必修,1
歴史A,2,一般,必修,1
歴史B,2,一般,必修,2
英語ⅢＡ,2,一般,必修,1
英語ⅢＢ,2,一般,必修,1
英語ⅣＡ,2,一般,必修,1
英語ⅣＢ,2,一般,必修,1
保健体育ⅡA,2,一般,必修,1
保健体育ⅡB,2,一般,必修,1
線形代数ⅠA,2,一般,必修,1
線形代数ⅠB,2,一般,必修,1
微分積分ⅠA,2,一般,必修,2
微分積分ⅠB,2,一般,必修,2
物理学ⅡA,2,一般,必修,1
物理学ⅡB,2,一般,必修,1
化学ⅠA,2,一般,必修,1
化学ⅠB,2,一般,必修,1
プログラミング基礎Ⅰ,2,専門,必修,1
プログラミング基礎Ⅱ,2,専門,必修,1
プログラミング演習ⅠA,2,専門,必修,1
プログラミング演習ⅠB,2,専門,必修,1
電気回路Ⅰ,2,専門,必修,1
電気回路Ⅱ,2,専門,必修,1
論理回路Ⅰ,2,専門,必修,1
論理回路Ⅱ,2,専門,必修,1
実験・実習 IIA,2,専門,必修,1
実験・実習 IIB,2,専門,必修,1
国語Ⅲ,3,一般,必修,1
現代社会A,3,一般,必修,1
現代社会B,3,一般,必修,2
英語ⅤA,3,一般,必修,1
英語ⅤB,3,一般,必修,1
体育ⅠA,3,一般,必修,1
体育ⅠB,3,一般,必修,1
線形代数Ⅱ,3,一般,必修,1
微分積分Ⅱ,3,一般,必修,2
微分積分Ⅲ,3,一般,必修,2
ﾗｲﾌｻｲｴﾝｽ・ｱｰｽｻｲｴﾝｽ,3,一般,必修,1
物理学Ⅲ,3,一般,必修,1
物理学Ⅳ,3,一般,必修,1
化学Ⅱ,3,一般,必修,1
一般特別セミナー,3,一般,必修選択,1
日本文化論,3,一般,選択,1
日本語ⅠA,3,一般,必修（留学生）,1
日本事情ⅠA,3,一般,必修（留学生）,1
日本事情ⅠB,3,一般,必修（留学生）,1
日本事情ⅡA,3,一般,必修（留学生）,1
日本事情ⅡB,3,一般,必修（留学生）,1
日本事情Ⅲ,3,一般,必修（留学生）,1
日本語ⅠB,3,一般,必修（留学生）,1
ドイツ語ⅠA,3,一般,必修,1
ドイツ語ⅠB,3,一般,必修,1
ネットワーク演習,3,専門,必修,1
ﾃﾞｰﾀ構造とｱﾙｺﾞﾘｽﾞﾑⅠ,3,専門,必修,1
ﾃﾞｰﾀ構造とｱﾙｺﾞﾘｽﾞﾑⅡ,3,専門,必修,1
ﾌﾟﾛｸﾞﾗﾐﾝｸﾞ演習ⅡA,3,専門,必修,1
ﾌﾟﾛｸﾞﾗﾐﾝｸﾞ演習ⅡB,3,専門,必修,1
情報数学Ⅰ,3,専門,必修,1
情報数学Ⅱ,3,専門,必修,1
ネットワーク入門Ⅰ,3,専門,必修,1
ネットワーク入門Ⅱ,3,専門,必修,1
ｺﾝﾋﾟｭｰﾀｱｰｷﾃｸﾁｬⅠ,3,専門,必修,1
ｺﾝﾋﾟｭｰﾀｱｰｷﾃｸﾁｬⅡ,3,専門,必修,1
実験・実習ⅢA,3,専門,必修,1
実験・実習ⅢB,3,専門,必修,1
プロジェクト実習,3,専門,必修選択,1
国語表現,4,一般,必修,1
体育Ⅱ,4,一般,必修,1
英語演習ⅠＡ,4,一般,必修選択,1
英会話ⅠＡ,4,一般,必修選択,1
英語演習ⅠＢ,4,一般,必修選択,1
英会話ⅠＢ,4,一般,必修選択,1
哲学A,4,一般,必修選択,2
経済学A,4,一般,必修選択,2
社会学A,4,一般,必修選択,2
哲学B,4,一般,必修選択,2
経済学B,4,一般,必修選択,2
社会学B,4,一般,必修選択,2
中国語ⅠA,4,一般,選択,1
中国語ⅠB,4,一般,選択,1
日本文化論,4,一般,選択,1
日本語ⅡＡ,4,一般,必修（留学生）,1
日本語ⅡＢ,4,一般,必修（留学生）,1
ドイツ語ⅡA,4,一般,選択,1
ドイツ語ⅡB,4,一般,選択,1
コンピュータアーキテクチャⅢ,4,専門,必修,1
インターフェース回路,4,専門,必修,1
プログラミング言語Ⅰ,4,専門,必修,2
プログラミング言語Ⅱ,4,専門,必修,2
言語処理系Ⅰ,4,専門,必修,2
言語処理系Ⅱ,4,専門,必修,2
オペレーティングシステムⅠ,4,専門,必修,2
オペレーティングシステムⅡ,4,専門,必修,2
計算機インターフェースⅠ,4,専門,必修,2
計算機インターフェースⅡ,4,専門,必修,2
情報セキュリティⅠ,4,専門,必修,2
情報セキュリティⅡ,4,専門,必修,2
プレゼンテーション技法,4,専門,必修,1
プログラミング演習ⅢA,4,専門,必修,1
プログラミング演習ⅢB,4,専門,必修,1
実験・実習Ⅳ,4,専門,必修,1
工業英語,4,専門,必修,1
課題研究,4,専門,必修,2
応用数学A,4,専門,必修選択,2
応用数学B,4,専門,必修選択,2
統計学,4,専門,必修選択,2
学外実習,4,専門,選択,2
体育Ⅲ,5,一般,必修,1
日本語ⅢA,5,一般,必修（留学生）,1
日本語ⅢB,5,一般,必修（留学生）,1
英語演習Ⅱ,5,一般,必修選択,1
英会話Ⅱ,5,一般,必修選択,1
国文学,5,一般,選択,1
心理学,5,一般,選択,1
法学,5,一般,選択,1
ドイツ語ⅢA,5,一般,選択,1
中国語ⅡA,5,一般,選択,1
ドイツ語ⅢB,5,一般,選択,1
中国語ⅡB,5,一般,選択,1
日本文化論,5,一般,選択,1
数値計算,5,専門,必修,2
ソフトウェア設計Ⅰ,5,専門,必修,2
ソフトウェア設計Ⅱ,5,専門,必修,2
情報理論Ⅰ,5,専門,必修,1
情報理論Ⅱ,5,専門,必修,1
ネットワークシステムⅠ,5,専門,必修,2
ネットワークシステムⅡ,5,専門,必修,2
卒業研究,5,専門,必修,8
画像情報システム,5,専門,選択,1
知能システム,5,専門,選択,1
制御情報システム,5,専門,選択,1
分散情報システム,5,専門,選択,1
信号処理工学,5,専門,選択,1
認知科学,5,専門,選択,1
データマイニング,5,専門,選択,1
バイオインフォマティクス,5,専門,選択,1
メディアデザイン,5,専門,選択,1
計測システム,5,専門,選択,1
