教科名,学年,科目,区分,単位数
国語ⅠA,1,一般,必修,2
国語ⅠB,1,一般,必修,2
地理A,1,一般,必修,1
地理B,1,一般,必修,2
美術,1,一般,必修,1
英語ⅠA,1,一般,必修,1
英語ⅠB,1,一般,必修,1
英語ⅡA,1,一般,必修,1
基礎数学Ⅱ,1,一般,必修,2
基礎数学Ⅲ,1,一般,必修,1
基礎科学,1,一般,必修,1
物理学Ⅰ,1,一般,必修,1
基礎化学ⅠA,1,一般,必修,1
基礎化学ⅠB,1,一般,必修,1
英語ⅡB,1,一般,必修,1
英文法,1,一般,必修,2
保健体育ⅠA,1,一般,必修,1
保健体育ⅠB,1,一般,必修,1
基礎数学Ⅰ,1,一般,必修,3
環境都市工学概論Ⅰ,1,専門,必修,1
技術者入門I,1,専門,必修,1
技術者入門II,1,専門,必修,1
情報処理入門,1,専門,必修,1
測量学Ⅰ,1,専門,必修,1
力学基礎,1,専門,必修,1
日本文化論,2,一般,選択,1
国語ⅡA,2,一般,必修,1
国語ⅡB,2,一般,必修,1
微分積分ⅠB,2,一般,必修,2
物理学ⅡA,2,一般,必修,1
物理学ⅡB,2,一般,必修,1
化学ⅠA,2,一般,必修,1
化学ⅠB,2,一般,必修,1
歴史A,2,一般,必修,1
歴史B,2,一般,必修,2
英語ⅢＡ,2,一般,必修,1
英語ⅢＢ,2,一般,必修,1
英語ⅣＡ,2,一般,必修,1
英語ⅣＢ,2,一般,必修,1
保健体育ⅡA,2,一般,必修,1
保健体育ⅡB,2,一般,必修,1
線形代数ⅠA,2,一般,必修,1
線形代数ⅠB,2,一般,必修,1
微分積分ⅠA,2,一般,必修,2
環境都市工学概論Ⅱ,2,専門,必修,1
測量学Ⅱ,2,専門,必修,1
測量学Ⅲ,2,専門,必修,1
構造力学Ⅰ,2,専門,必修,1
構造力学Ⅱ,2,専門,必修,1
建設材料学,2,専門,必修,1
材料実験,2,専門,必修,2
測量実習A,2,専門,必修,1
測量実習B ,2,専門,必修,1
国語Ⅲ,3,一般,必修,1
現代社会A,3,一般,必修,1
現代社会B,3,一般,必修,2
英語ⅤA,3,一般,必修,1
英語ⅤB,3,一般,必修,1
体育ⅠA,3,一般,必修,1
体育ⅠB,3,一般,必修,1
線形代数Ⅱ,3,一般,必修,1
微分積分Ⅱ,3,一般,必修,2
微分積分Ⅲ,3,一般,必修,2
ﾗｲﾌｻｲｴﾝｽ・ｱｰｽｻｲｴﾝｽ,3,一般,必修,1
物理学Ⅲ,3,一般,必修,1
物理学Ⅳ,3,一般,必修,1
化学Ⅱ,3,一般,必修,1
一般特別セミナー,3,一般,必修選択,1
日本語ⅠA,3,一般,必修（留学生）,1
日本文化論,3,一般,選択,1
日本事情ⅠA,3,一般,必修（留学生）,1
日本事情ⅠB,3,一般,必修（留学生）,1
日本事情ⅡA,3,一般,必修（留学生）,1
日本事情ⅡB,3,一般,必修（留学生）,1
日本事情Ⅲ,3,一般,必修（留学生）,1
日本語ⅠB,3,一般,必修（留学生）,1
ドイツ語ⅠA,3,一般,必修,1
ドイツ語ⅠB,3,一般,必修,1
プログラミング演習,3,専門,必修,1
測量学Ⅳ,3,専門,必修,1
土木総合学習Ⅰ,3,専門,必修,1
水理学Ⅰ,3,専門,必修,1
水理学Ⅱ,3,専門,必修,1
土質力学Ⅰ,3,専門,必修,1
土質力学Ⅱ,3,専門,必修,1
コンクリート構造学Ⅰ,3,専門,必修,1
コンクリート構造学Ⅱ,3,専門,必修,2
環境概論,3,専門,必修,1
上下水道工学Ⅰ,3,専門,必修,2
水環境工学,3,専門,必修,1
測量実習C,3,専門,必修,1
プロジェクト実習,3,専門,必修選択,1
水資源工学,3,専門,選択,2
国語表現,4,一般,必修,1
体育Ⅱ,4,一般,必修,1
英語演習ⅠＡ,4,一般,必修選択,1
英会話ⅠＡ,4,一般,必修選択,1
英語演習ⅠＢ,4,一般,必修選択,1
英会話ⅠＢ,4,一般,必修選択,1
哲学A,4,一般,必修選択,2
経済学A,4,一般,必修選択,2
社会学A,4,一般,必修選択,2
哲学B,4,一般,必修選択,2
経済学B,4,一般,必修選択,2
社会学B,4,一般,必修選択,2
中国語ⅠA,4,一般,選択,1
中国語ⅠB,4,一般,選択,1
日本文化論,4,一般,選択,1
日本語ⅡＡ,4,一般,必修（留学生）,1
日本語ⅡＢ,4,一般,必修（留学生）,1
ドイツ語ⅡA,4,一般,選択,1
ドイツ語ⅡB,4,一般,選択,1
応用物理,4,専門,必修,1
構造力学Ⅲ,4,専門,必修,2
構造力学Ⅳ,4,専門,必修,2
水理学Ⅲ,4,専門,必修,2
水理学Ⅳ,4,専門,必修,2
土質力学Ⅲ,4,専門,必修,2
土質力学Ⅳ,4,専門,必修,2
コンクリート構造設計学,4,専門,必修,2
上下水道工学Ⅱ,4,専門,必修,2
水域システム工学,4,専門,必修,2
コンクリート構造設計製図,4,専門,必修,2
土木総合学習Ⅱ,4,専門,必修,1
防災工学,4,専門,必修,2
水理実験,4,専門,必修,2
土質実験,4,専門,必修,2
応用物理実験,4,専門,必修,1
課題研究,4,専門,必修,1
応用数学A,4,専門,必修選択,2
応用数学B,4,専門,必修選択,2
応用数学C,4,専門,必修選択,2
学外実習,4,専門,選択,2
体育Ⅲ,5,一般,必修,1
日本語ⅢA,5,一般,必修（留学生）,1
日本語ⅢB,5,一般,必修（留学生）,1
英語演習Ⅱ,5,一般,必修選択,1
英会話Ⅱ,5,一般,必修選択,1
国文学,5,一般,選択,1
心理学,5,一般,選択,1
法学,5,一般,選択,1
ドイツ語ⅢA,5,一般,選択,1
中国語ⅡA,5,一般,選択,1
ドイツ語ⅢB,5,一般,選択,1
中国語ⅡB,5,一般,選択,1
日本文化論,5,一般,選択,1
統計学,5,専門,必修,2
環境統計学,5,専門,必修,2
土木英語演習,5,専門,必修,1
卒業研究Ⅰ,5,専門,必修,2
卒業研究Ⅱ,5,専門,必修,6
環境工学実験,5,専門,必修選択,2
構造工学実験,5,専門,必修選択,2
土木総合学習Ⅲ,5,専門,選択,1
生態環境工学,5,専門,選択,1
計算工学,5,専門,選択,1
建設プロジェクト実践,5,専門,選択,1
橋構造,5,専門,選択,1
耐震構造,5,専門,選択,1
プレストレストコンクリート工学,5,専門,選択,1
環境管理手法,5,専門,選択,2
空間情報工学,5,専門,選択,2
