教科名,学年,科目,区分,単位数
工学基礎演習Ⅱ,3,専門,必修,1
電気磁気学ⅡA,3,専門,必修,1
電気磁気学ⅡB,3,専門,必修,1
電気回路ⅡA,3,専門,必修,1
電気回路ⅡB,3,専門,必修,1
電子工学Ⅰ,3,専門,必修,1
電子工学Ⅱ,3,専門,必修,1
ディジタル回路Ⅱ,3,専門,必修,1
組み込みﾌﾟﾛｸﾞﾗﾐﾝｸﾞ,3,専門,必修,1
実験実習ⅡA,3,専門,必修,2
実験実習ⅡB,3,専門,必修,2
機械工作実習,3,専門,必修,1
プロジェクト実習,3,専門,必修選択,1
国語表現,4,一般,必修,1
体育Ⅱ,4,一般,必修,1
英語演習ⅠＡ,4,一般,必修選択,1
英会話ⅠＡ,4,一般,必修選択,1
英語演習ⅠＢ,4,一般,必修選択,1
英会話ⅠＢ,4,一般,必修選択,1
哲学A,4,一般,必修選択,2
経済学A,4,一般,必修選択,2
社会学A,4,一般,必修選択,2
哲学B,4,一般,必修選択,2
経済学B,4,一般,必修選択,2
社会学B,4,一般,必修選択,2
中国語ⅠA,4,一般,選択,1
中国語ⅠB,4,一般,選択,1
日本文化論,4,一般,選択,1
日本語ⅡＡ,4,一般,必修（留学生）,1
日本語ⅡＢ,4,一般,必修（留学生）,1
ドイツ語ⅡA,4,一般,選択,1
ドイツ語ⅡB,4,一般,選択,1
応用物理実験,4,専門,必修,1
電気磁気学ⅢA,4,専門,必修,2
電気磁気学ⅢB,4,専門,必修,2
電気回路ⅢA,4,専門,必修,2
電気回路ⅢB,4,専門,必修,2
電子回路Ⅰ,4,専門,必修,2
電子回路Ⅱ,4,専門,必修,2
電気機器Ⅰ,4,専門,必修,2
電気機器Ⅱ,4,専門,必修,2
制御工学,4,専門,必修,2
実験実習ⅢA,4,専門,必修,2
実験実習ⅢB,4,専門,必修,2
課題研究,4,専門,必修,2
応用数学A,4,専門,必修選択,2
応用数学C,4,専門,必修選択,2
工業英語,4,専門,選択,2
情報伝送工学,4,専門,選択,2
学外実習,4,専門,選択,2
体育Ⅲ,5,一般,必修,1
日本語ⅢA,5,一般,必修（留学生）,1
日本語ⅢB,5,一般,必修（留学生）,1
英語演習Ⅱ,5,一般,必修選択,1
英会話Ⅱ,5,一般,必修選択,1
国文学,5,一般,選択,1
心理学,5,一般,選択,1
法学,5,一般,選択,1
ドイツ語ⅢA,5,一般,選択,1
中国語ⅡA,5,一般,選択,1
ドイツ語ⅢB,5,一般,選択,1
中国語ⅡB,5,一般,選択,1
日本文化論,5,一般,選択,1
電子計測,5,専門,必修,2
電力工学Ⅰ,5,専門,必修,2
卒業研究,5,専門,必修,8
統計学,5,専門,選択,2
応用数学B,5,専門,選択,2
応用物理,5,専門,選択,1
電気電子材料,5,専門,選択,1
高電圧大電流工学,5,専門,選択,1
パワーエレクトロニクス,5,専門,選択,1
情報ネットワーク,5,専門,選択,1
ロボット制御,5,専門,選択,1
情報通信,5,専門,選択,2
半導体工学,5,専門,選択,2
電力工学Ⅱ,5,専門,選択,2
電気電子製図Ⅱ,5,専門,選択,1
電気法規,5,専門,選択,1
